RSK_ELMN_NM,RSK_ELMN_GRD,RN_1HR,AIRTP,LOT,LAT,LOTNO_ADDR,ROAD_NM_ADDR
SF20313,L,3,-1,126.8484062632,37.0692974555,경기 화성시 장안면 독정리 산 248-1,
SF20313,L,3,-1,126.8055317079,37.049984702,경기 화성시 장안면 노진리 514-8,
SF20311,F,.5,0,129.0651216022,35.6534768043,경북 경주시 산내면 대현리 3064-1,경상북도 경주시 산내면 문복로 195
SF20313,L,4,-1,127.2193501575,36.619516498,세종특별자치시 연서면 쌍류리 산 3-8,
SF20313,L,3,-1,127.0540910069,37.0665101295,경기 평택시 서정동 492-7,
SF20313,L,3,-1,127.0542953629,37.0702793705,경기 평택시 서정동 492-1,
SF20313,L,3,-1,127.0546551125,37.0725494835,경기 평택시 서정동 492-2,
SF20313,L,5,-1,127.071030564,37.025510501,경기 평택시 모곡동 472,
SF20313,L,5,-1,127.1054966486,37.0353862727,경기 평택시 칠원동 산 14-4,
SF20313,L,3,-1,127.0567700194,37.0791281495,경기 평택시 지산동 811-1,
SF20313,L,3,-1,127.0587576272,37.0734027595,경기 평택시 지산동 864-51,
SF20313,L,3,-1,127.0562304391,37.0786087651,경기 평택시 지산동 809-25,
SF20313,L,3,-1,127.0567797002,37.0767790125,경기 평택시 지산동 824-22,
SF20313,L,3,-1,127.0580157171,37.0735248815,경기 평택시 지산동 850-65,
SF20313,L,3,-1,127.056241579,37.0785941375,경기 평택시 지산동 809-25,
SF20313,L,3,-1,127.0570173369,37.0735755665,경기 평택시 지산동 843-49,
SF20313,L,3,-1,127.0562692677,37.0800390455,경기 평택시 지산동 768-164,
SF20313,L,3,-1,127.0494525484,37.076821717,경기 평택시 신장동 690-237,
SF20313,L,3,-1,127.0567511872,37.0862223995,경기 평택시 신장동 207-1,
SF20313,L,3,-1,127.0472422069,37.0746296125,경기 평택시 신장동 267-569,
SF20313,L,3,-1,127.047780719,37.075060178,경기 평택시 신장동 267-181,
SF20313,L,3,-1,127.0531275424,37.0791602755,경기 평택시 신장동 298-68,
SF20313,L,3,-1,127.0500513726,37.081546078,경기 평택시 신장동 306-204,
SF20313,L,3,-1,127.0542447337,37.0745749415,경기 평택시 신장동 257-3,
SF20313,L,3,-1,127.0463376467,37.0838710725,경기 평택시 신장동 629-5,
SF20313,L,3,-1,127.0564564787,37.0868401615,경기 평택시 신장동 153-2,
SF20313,L,3,-1,127.0550652424,37.082414842,경기 평택시 신장동 207-1,
SF20313,L,3,-1,127.050367263,37.0771806685,경기 평택시 신장동 272-31,
SF20313,L,3,-1,127.0461330248,37.086317202,경기 평택시 신장동 603-12,
SF20313,L,3,-1,127.0479473418,37.0842370765,경기 평택시 신장동 623-16,
SF20313,L,3,-1,127.0545112361,37.0812556285,경기 평택시 신장동 207-1,
SF20313,L,3,-1,127.0505521563,37.077820589,경기 평택시 신장동 691-63,
SF20313,L,3,-1,127.0469411282,37.087566511,경기 평택시 신장동 597-28,
SF20313,L,3,-1,127.0825656626,36.9936332655,경기 평택시 평택동 185-1,
SF20313,L,3,-1,127.0893512864,36.9876087535,경기 평택시 평택동 196-40,
SF20313,L,3,-1,127.0806636283,36.9948378055,경기 평택시 통복동 122-3,
SF20313,L,3,-1,127.0801510725,36.9944045855,경기 평택시 통복동 124-30,
SF20313,L,3,-1,127.0329498871,36.9787169,경기 평택시 팽성읍 원정리 247-1,
SF20313,L,4,-1,126.9383324092,36.991412367,경기 평택시 안중읍 안중리 184-2,
SF20313,L,4,-1,127.0955367037,37.097416694,경기 평택시 진위면 봉남리 60-1,
SF20313,L,4,-1,127.1094949242,37.116820374,경기 평택시 진위면 동천리 320-1,
